AQD CODE,DESCRIPTION,CODE,TITLE,OFFICER AWARDING CRITERIA,NOTE,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,GRADES,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILING PREREQUISITES,DESIGNATOR_1,DESIGNATOR_2,,GRADES,MANPOWER TYPE,PRIMARY CONSULTANTS_1,PRIMARY CONSULTANTS_2,PRIMARY CONSULTANTS_3,AUXILIARY CONSULTANTS_1,AUXILIARY CONSULTANTS_2,AUXILIARY CONSULTANTS_3,AUXILIARY CONSULTANTS_4,AUXILIARY CONSULTANTS_5,AUXILIARY CONSULTANTS_6,,
92E,,92E,"ERP Certificate with SAP Program
(ERP W SAP CERT)
","(a) Successfully completed Enterprise Resource Planning (ERP) Certificate with Systems, Applications, and Products (SAP) through Pennsylvania State University (Penn State).
OR
(b) Equivalent ERP certificate through an accredited university. 
or 
(c) A SAP Global Certificate that aligns with Navy ERP (e.g. TERP-10).
",,310X,651X,,,ANY,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,NAVSUP BSC,OPNAV N4L,,,,,,
935,,935,"Commander Supply Corps Officer Milestone Completed
(SC CDRMLSTNCMP)
",Successfully completed a Commander Supply Officer Milestone Tour.,,310X,,,,O5 TO O6,Indefinite,Active ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
937,,937,"Commander Supply Corps Officer Milestone Select
(SC CDRMLSTNSEL)
",Been selected for assignment to a Commander Supply Officer Milestone Tour.,,10X,,,,O5 TO O6,Indefinite,Active ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
939,,939,"Ordnance Logistics Ammo 
(SC ORDLOG)
","(a) Served at least 24 months in an ordnance logistics assignment.
OR
(b) Demonstrated proficiency in Expandable Ordnance Management applications by successfully completing the 1302P master’s degree program and completing training requirements approved by NAVSUP Ammunition Logistics Center (NALC).
",,310X,651X,,,O1 TO O6,Indefinite,Active and Reserve,Billets coded with 939 require an officer who has previously been awarded the 939 code prior to reporting to ultimate duty assignment.,3100,6510,,O1 TO O6,Active and Reserve,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,NALC,,,,
93A,,93A,"Shore Command Complete
(SC CMD COMP)
","(a) Selected at the Supply Corps Commander Milestone Screening Board.
AND
(b) Completed a minimum of 18 months in an approved Supply Corps Shore Command billet.
Effective July 2012 - Present
",,310X,,,,O5 TO O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
93B,,93B,"Major Shore Command Complete
(SC MAJCMD COMP)
","(a) Selected at the Supply Corps Major Command Ashore Screening Board.
AND
(b) Completed a minimum of 18 months in an approved Supply Corps Major Shore Command billet.
Effective July 2012 - Present
",,310X,,,,O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
93E,,93E,"Navy Expeditionary Supply Corps Officer Warfare Qualification
(NESCO)
",Successfully complied with eligibility requirements and qualified as a Navy Expeditionary Supply Corps Officer IAW OPNAVINST 1412.15.,,310X,651X,751X,,W2 TO 9,Indefinite,Active and Reserve,N/A,,,,,,PERS-4,,,BUPERS - 311,BUPERS -315,,,,,,
940,,940,"Ship Outfitting
(SC SHIPOUT)
","(a) Served as Supply Officer of a new construction or major conversion ship.
OR
(b) Been assigned to a Fleet Support Team (FST) or outfitting activity (Shipyard) supporting a new construction or major conversion ship.
",,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
943,,943,"Joint, Interagency, International, or Multinational Operations
(SC JIIMOPS)
","(a) Been assigned to any Joint Activity as a regular tour of duty (not to include IA tours or Financial Management tours granting ""N"" series AQDs).
OR
(b) Has served in an international logistics, international sales, or international support policy billet.
",,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
945,,945,"Naval Reactors Experience
(SC NR EXP)
",Been assigned to a Naval Reactors support tour.,,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,NAVSEA (08B-LL),OPNAV N4L,,,,
