1. Designator Codes and Descriptions,,,,
a. Unrestricted Line,,,,
Billet Code,Billet,Officer Code,Officer,Officer Community Manager (OCM)
e. Restricted Line (Aerospace Engineering Duty),,,,
1500,Aerospace Engineering Duty Officer billet requiring Aerospace Engineering (AED) or Aerospace maintenance (AMD) specialties (CAPT and above),150X,A Restricted Line AED Flag Officer or Captain who was formerly either an AED officer (Aerospace Engineering--designator 151X) or an AMD officer (Aviation Maintenance--designator 152X),COMNAVAIR-SYSCOM
1510,Aerospace Engineering Duty Officer billet requiring Aerospace Engineering (AED) specialty. NOTE below applies,151X,Aerospace Engineering Duty Officer (Aerospace Engineering),COMNAVAIR-SYSCOM
*1511,"Aerospace Engineering Duty Officer billet, Code 1 - Operational Flying, requiring the specialty of an Aerospace Engineering Duty (AED) officer who is a designated Pilot or Naval Flight Officer. NOTE below applies",N/A,N/A,COMNAVAIR-SYSCOM
*1512,"Aerospace Engineering Duty Officer billet, Code 2 - Operational Flying, requiring the specialty of an Aerospace Engineering Duty (AED) Officer who is a designated Pilot or Naval Flight Officer. NOTE below applies",N/A,N/A,COMNAVAIR-SYSCOM
*1540,"Aviation Duty Officer billet, Code 0 - Other Than Operational Flying, requiring Aviation Warfare specialty of a pilot (LT thru CAPT)",154X,Aviation Duty Officer,ACNO (Air Warfare)
*1541,"Aviation Duty Officer billet, Code 1 - Operational Flying, requiring Aviation Warfare specialty of a pilot (LT thru CAPT)",N/A,N/A,ACNO (Air Warfare)
*1542,"Aviation Duty Officer billet, Code 2 - Operational Flying, requiring Aviation Warfare specialty of a pilot (LT thru CAPT)",N/A,N/A,ACNO (Air Warfare)
NOTE:  Subspecialty coding and justification must accompany requests for new 151X billets.,,,,
"*See definitions in Section 1, paragraph 2.b.",,,,
,,,,
f.  Restricted Line (Strategic Sealift and Public Affairs),,,,
1650,Special Duty Officer billet requiring Public Affairs specialty,165X,Special Duty Officer - Public Affairs,CHINFO
1660,Special Duty Officer billet requiring a Strategic Sealift Officer,166X,Special Duty Officer – Strategic Sealift Officer (SSO),MSC
N/A,N/A,168X,Special Duty Officer (Reserve Recruiting),CHNAVPERS (PERS-921)
,,,,
g. Restricted Line (Foreign Area Officer),,,,
1710,Special Duty Officer billet requiring a qualified Foreign Area Officer or a Foreign Area Officer Under Instruction,171X,Special Duty Officer qualified as a Foreign Area Officer,CNO (N131)
1712,"Special Duty Officer billet requiring a Foreign Area Officer Code 2 – Operational Flying Involved, a qualified Foreign Area Officer or a Foreign Area Officer Under Instruction",N/A,N/A,CNO (N131)
,,,,
h. Restricted Line (Information Warfare Community),,,,
1800,Information Warfare Line Officer - Oceanography,180X,Information Warfare Line Officer - Oceanography,BUPERS-311-METOC
*1802,"Information Warfare Line Officer billet Code 2 - Operational Flying, requiring Meteorology specialty of a Geophysicist who is a designated Pilot or Naval Flight Officer",N/A,N/A,OCEANAV
1810,Information Warfare Line Officer – Cryptologic Warfare Officer,181X,Information Warfare Line Officer – Cryptologic Warfare Officer,BUPERS-311-CW
1820,"Information Warfare Line Officer –
Communications Systems Warfare Officer (CSWO)",182X,"Information Warfare Line Officer –
Communications Systems Warfare Officer (CSWO)",BUPERS-311-IP
1830,Information Warfare Line Officer – Intelligence Officer,183X,Information Warfare Line Officer– Intelligence Officer,BUPERS-311-INT
1840,Information Warfare Line Officer – Cyber Warfare Engineer,184X,Information Warfare Line Officer– Cyber Warfare Engineer,BUPERS-311-CYBER
1850,Billets which may be filled by any appropriately skilled and experienced IWC Officer,N/A,N/A,BUPERS-311
1860,Information Warfare Line Officer – IWC Flag Officer,186X,Information Warfare Line Officer – IWC Flag Officer,BUPERS-311
1870,"Information Warfare Line Officer  – Maritime Space Officer
Warfare –qualified URL/RL officers at O3, O4, O5 and O6 level
Reserve Grades URL/RL O2 to O6",187X,"Information Warfare Line Officer  - Maritime Space Officer
Reserve Grades URL/RL O2 to O6",BUPERS-311-MSO
1880,Information Warfare Line Officer -Maritime Cyber Warfare Officer (O1 to O6),188X,Information Warfare Line Officer -Maritime Cyber Warfare Officer (O1 to O6),BUPERS-311-CYBER
"*See definitions in Section 1, paragraph 2.b.",,,,
,,,,
i. Unrestricted Line - Prospective Staff Corps,,,,
1900,Unrestricted Line Officer student billet for a prospective Nurse Corps officer,190X,An Unrestricted Line Officer under instruction as a prospective Nurse Corps officer,BUMED-15
1910,Unrestricted Line Officer student billet for a prospective Medical Corps officer (Senior Medical Student Program),191X,An Unrestricted Line Officer under instruction as a prospective Medical Corps officer (Senior Medical Student),BUMED-15
1920,Unrestricted Line Officer student billet for a prospective Dental Corps officer,192X,An Unrestricted Line Officer under instruction as a prospective Dental Corps officer,BUMED-15
1930,Unrestricted Line Officer student billet for a prospective Medical Service officer (Optometry),193X,An Unrestricted Line Officer under instruction as a prospective Medical Service officer (Optometry),BUMED-15
N/A,N/A,**194X,An Unrestricted Line Officer under instruction as a prospective Chaplain Corps officer,CHIEF OF CHAPLAINS
1950,Unrestricted Line Officer student billet for a prospective Judge Advocate General’s Corps Officer Law Education Program (LEP),195X,An Unrestricted Line Officer under instruction as a prospective Judge Advocate General's Corps officer,JAG
1960,Unrestricted Line Officer student billet for a prospective Medical Corps officer (Medical /Osteopathic Scholarship Program),196X,An Unrestricted Line Officer under instruction as a prospective Medical Corps officer (Medical /Osteopathic Scholarship Program),BUMED-15
N/A,N/A,**197X,An Unrestricted Line Officer under instruction in the Armed Forces Health Professions Scholarship Program (Medical/Osteopathic),BUMED-15
N/A,N/A,**198X,An Unrestricted Line Officer under instruction in the Armed Forces Health Professions Scholarship Program (Dental),BUMED-15
N/A,N/A,**199X,An Unrestricted Line Officer under instruction in the Armed Forces Health Professions Scholarship Program (Medical Service Corps),BUMED-15
** Authorized for Naval Reserve Officers only.,,,,
,,,,
j. Staff Corps,,,,
2000,Medical Department (Medical Admin) Officer billet which may be filled by an appropriately skilled and experienced individual of one of the Medical Department officer communities (LCDR and above),N/A,N/A,BUMED-15
2100,Staff Corps Officer billet requiring Medical specialty,210X,A Medical Corps Officer,BUMED-15
*2102,"Staff Corps Officer billet Code 2 - Operational Flying, requiring Medical specialty of a qualified Flight Surgeon",N/A,N/A,BUMED-15
2200,Staff Corps Officer billet requiring Dental specialty,220X,A Dental Corps Officer,BUMED-15
2300,"Staff Corps Officer billet requiring Medical Service (Health Care Administration, Medical Allied Science, Optometry, Pharmacy, or Medical Specialist) specialty",230X,A Medical Service Corps Officer,BUMED-15
*2302,"Staff Corps Officer billet, Code 2 - Operational Flying, requiring specialty of a qualified Aviation Physiologist, Aviation Experimental Psychologist, or Flight Physician Assistant",N/A,N/A,BUMED-15
2500,Staff Corps Officer billet requiring Law specialty,250X,A Judge Advocate General Corps Officer ,JAG
N/A,N/A,270X,"Active duty Nurse Corps, Medical Service Corps, Medical Corps, and Dental Corps officer in rank of O7",BUMED-15
2900,Staff Corps Officer billet requiring Nursing specialty,290X,A Nurse Corps Officer,BUMED-15
3100,Staff Corps Officer billet requiring Supply specialty,310X,A Supply Corps Officer,COMNAVSUP-SYSCOM
N/A,N/A,316X,A direct commissioned Supply Corps Officer in training for qualification ,COMNAVSUP-SYSCOM
4100,Staff Corps Officer billet requiring Chaplain specialty,410X,A Chaplain Corps Officer,Chief of Chaplains
5100,Staff Corps Officer billet requiring Civil Engineering specialty,510X,A Civil Engineer Corps Officer,COMNAVFAC-SYSCOM
"*See definitions in Section 1, paragraph 2.b.",,,,
,,,,
k. Limited Duty Officer - Line (Surface),,,,
6000,Billet which may be filled by any appropriately skilled and experienced Limited Duty Officer Line (CDR and above),N/A,N/A,BUPERS-311-LDO
6110,Limited Duty Officer (Line) billet requiring management in Deck specialty (Surface),611X,A Limited Duty Officer (Deck - Surface),ACNO (Surface Warfare)
6120,Limited Duty Officer (Line) billet requiring management in Operations specialty (Surface),612X,A Limited Duty Officer (Operations - Surface),ACNO (Surface Warfare)
6130,Limited Duty Officer (Line) billet requiring management in Engineering/Repair specialty (Surface),613X,A Limited Duty Officer (Engineering/Repair - Surface),ACNO (Surface Warfare)
6180,Limited Duty Officer (Line) billet requiring management in Electronics specialty (Surface),618X,A Limited Duty Officer (Electronics - Surface),ACNO (Surface Warfare)
,,,,
l. LIMITED DUTY OFFICER - LINE (SUBMARINE),,,,
6200,Limited Duty Officer (Line) billet requiring management in Nuclear Power specialty ,620X,A Limited Duty Officer (Nuclear Power); Formerly DESIG 640X,ACNO (Undersea Warfare)
6230,Limited Duty Officer (Line) billet requiring management in Engineering/Repair specialty (Submarine),623X,A Limited Duty Officer (Engineering/Repair - Submarine),ACNO (Undersea Warfare)
6260,Limited Duty Officer (Line) billet requiring management in Ordnance specialty (Submarine),626X,A Limited Duty Officer (Ordnance - Submarine),ACNO (Undersea Warfare)
6280,Limited Duty Officer (Line) billet requiring management in Electronics specialty (Submarine),628X,A Limited Duty Officer (Electronics - Submarine),ACNO (Undersea Warfare)
6290,Limited Duty Officer (Line) billet requiring management in Communications specialty (Submarine),629X,A Limited Duty Officer (Communications - Submarine),ACNO (Undersea Warfare)
,,,,
m. LIMITED DUTY OFFICER -- LLINE (AVIATION),,,,
6310,Limited Duty Officer (Line) billet requiring management in Aviation Deck specialty,631X,A Limited Duty Officer (Aviation Deck),ACNO (Air Warfare)
