AQD CODE,DESCRIPTION,1ST,2ND CODE,2ND TITLE,3RD CODE,3RD TITLE,OFFICER AWARDING CRITERIA,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILIING PREREQUISITE,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,DESIGNATOR_20,DESIGNATOR_21,DESIGNATOR_22,DESIGNATOR_23,DESIGNATOR_24,DESIGNATOR_25,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,PRIMARY CONSULTANT_1,PRIMARY CONSULTANT_2,PRIMARY CONSULTANT_3,PRIMARY CONSULTANT_4,PRIMARY CONSULTANT_5,AUXILIARY CONSULTANT_1,AUXILIARY CONSULTANT_2,AUXILIARY CONSULTANT_3,AUXILIARY CONSULTANT_4,AUXILIARY CONSULTANT_5,AUXILIARY CONSULTANT_6,,,,,,,,,,
BR1,,B,R,Regional Cadre,1,Indo-Pacific Cadre Basic Qualified,"(a) Earned BR0 code.
AND
(b) Completed a minimum of 18 months in a designated billet with AQD BR0 supporting the Indo-Pacific AOR.
",Additional significant experience supporting operations in the Indo-Pacific AOR may be considered acceptable for BR1 qualification.,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O10,,Indefinite,Active and Reserve,Billets coded with BR1 require an officer who has previously been awarded the BR1 code prior to reporting to ultimate duty assignment.,There may be exceptions in which an officer may be detailed to a BR1 coded billet without having first been awarded the BR1 code. This authority resides with the gaining command.,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O10,,,,OPNAV N13F,,,,,BUPERS - 311,BUPERS -315,PERS-4,PACFLT,NAVIFOR,,,,,,,,,,,
BR2,,B,R,Regional Cadre,2,Indo-Pacific Cadre Fully Proficient Qualified,"(a) Earned BR1 code which qualified officer at DODI Level 2.
AND
(b) Completed a minimum of 18 months in a designated billet with AQD BR1 supporting the Indo-Pacific AOR.
AND
(c) Completed a cumulative of at least 21 Graduate Credits of Regional Study in Far East, Southeast Asia, or the Pacific, or a Regional Studies Graduate level certificate with JPME I. 
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O10,,Indefinite,Active and Reserve,Billets coded with BR2 require an officer who has previously been awarded the BR2 code prior to reporting to ultimate duty assignment. ,There may be exceptions in which an officer may be detailed to a BR2 coded billet without having first been awarded the BR2 code. This authority resides with the gaining command.,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O10,,,,OPNAV N13F,,,,,BUPERS - 311,BUPERS -315,PERS-4,PACFLT,NAVIFOR,,,,,,,,,,,
BR3,,B,R,Regional Cadre,3,Indo-Pacific Cadre Master ,"(a) Earned BR2 code which qualified officer at DODI Level 3.
AND
(b) Completed a minimum of two years in a designated billet with AQD BR2 supporting the Indo-Pacific AOR.
AND
(c) Completed a Master’s Degree in a program focused on the Far East, Southeast Asia, or the Pacific (Waiverable by primary consultant).
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O10,,Indefinite,Active and Reserve,Billets coded with BR3 require an officer who has previously been awarded the BR3 code prior to reporting to ultimate duty assignment.,There may be exceptions in which an officer may be detailed to a BR3 coded billet without having first been awarded the BR3 code. This authority resides with the gaining command.,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O10,,,,OPNAV N13F,,,,,BUPERS - 311,BUPERS -315,PERS-4,PACFLT,NAVIFOR,,,,,,,,,,,
BR4,,B,R,Regional Cadre,4,Indo-Pacific Cadre Expert,"(a) Been administratively screened for Indo-Pacific Cadre Expert (level).
Requirements: two (2) years minimum in a BR3 billet, earned a PhD in a program focused on the Far East, Southeast Asia, or the Pacific, tested at a 2/2/1+ ILR level of proficiency in an identified Asia-Pacific language.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O10,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N13F,,,,,BUPERS - 311,BUPERS -315,PERS-4,PACFLT,NAVIFOR,,,,,,,,,,,
BR5,,B,R,Regional Cadre,5,Indo-Pacific Cadre in  Abeyance ,"(a) Been awarded a BRX series AQD of Entry, Basic, or Fully Proficient (BR0-BR2), but for 4 years or more, has not reinforced the AQD with regional experience, i.e. served in a billet focused on supporting operations in the Indo-Pacific AOR.  
Requirement for reinstatement: complete at least 18 months in a designated billet focused on supporting operations in the Indo-Pacific AOR.  
Reinstatement requirement may be met through other experience and is waiverable by primary consultant.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O10,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N13F,,,,,BUPERS - 311,BUPERS -315,PERS-4,PACFLT,NAVIFOR,,,,,,,,,,,
BS1,,B,S,TLAM,1,Shipboard Engagement Control Officer,"(a) Been billeted to be a shipboard Division Officer; 
AND
(b) Graduated from the Tomahawk Tactical Watch Officer (TTWO) course [A-121-0017]
AND
(c) Qualified as shipboard Engagement Control Officer (ECO) and has been issued a letter of designation signed by the Commanding Officer.",,,,111X,116X,,,,,,,,,,,,,,,,,,O1 TO O3,,Indefinite,Active and Reserve,Billets coded with BS1 require an officer who has previously been awarded the BS1 code prior to reporting to ultimate duty station.,,,,1110,,,,,,,,,,,,,,,,,,,,,,,,,O1 TO O3,,,Active and Reserve,USFF N1SF,OPNAV N96,PERS-4,,,CMSA LANY,CMSA PAC,,,,,,,,,,,,,,
BS2,,B,S,TLAM,2,"Shipboard Strike Officer 
Qualified
","(a) Been billeted to be a shipboard Strike Officer; 
AND
(b) Graduated from the Tomahawk Tactical Watch Officer (TTWO) course [A-121-0017]
AND
(c) Qualified as shipboard Engagement Control Officer (ECO) and has been issued a letter of designation signed by the Commanding Officer.

Designators:  111X
Grades:  O1 to O4
Length of Validity:  Indefinite
Manpower Type:  Active and Reserve
",,,,111X,,,,,,,,,,,,,,,,,,,O1 TO O4,,Indefinite,Active and Reserve,Billets coded with BS2 require an officer who has previously been awarded the BS2 code prior to reporting to ultimate duty station.,,,,1110,,,,,,,,,,,,,,,,,,,,,,,,,O1 TO O4,,,Active and Reserve,USFF N1SF,OPNAV N96,PERS-4,,,CMSA LANY,CMSA PAC,,,,,,,,,,,,,,
BS3,,B,S,TLAM,3,Strike Execution Officer,"(a) Been billeted to be a Strike Officer at a Numbered Fleet Staff/Maritime Operations Center (MOC) or Warfighting Development Center.
AND
(b) Graduate from the Tomahawk Tactical Commander's Course (TTCC) [J-2G-0007] AND from the MDS Staff Employment Course [J-2F-2100].",,,,1110,1120,,,,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,Billets coded with BS3 require an officer who has previously been awarded the BS3 code prior to reporting to ultimate duty station.,,,,1050,1110,1120,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,USFF N1SF,OPNAV N96,PERS-4,,,CMSA LANY,CMSA PAC,,,,,,,,,,,,,,
BS4,,B,S,TLAM,4,Senior Strike Officer TLAM OIC,"(a) Been billeted to be a Strike Officer at a Carrier Strike Group (CSG) or Numbered Fleet Staff/Maritime Operations Center (MOC)
AND
Graduate from the Tomahawk Tactical Commander's Course (TTCC) [J-2G-0007] AND from the MDS Staff Employment Course [J-2F-2100] AND from the Maritime Fires Course [J-2G-0655], AND TLAM Weaponeer/LNO Course [S-121-2000].",,,,111X,,,,,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFF N1SF,OPNAV N96,PERS-4,,,CMSA LANY,CMSA PAC,,,,,,,,,,,,,,
BS5,,B,S,TLAM,5,Mission Planner,"(a) Been billeted to be a TLAM Mission Planner; 
AND
(b) Graduated from the  (TLAM) Planning System (TPS) Route Planner[J-3A-2950] and TLAM Weaponeer Course/LNO [S-121-2000].
AND
(c) Complete follow-on certification from Cruise Missile Support Activity (CMSA).",,,,111X,112X,13XX,,,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,Billets coded with BS5 require an officer who has previously been awarded the BS5 code prior to reporting to ultimate duty station.,,1050,1110,1120,1300,1310,1320,,,,,,,,,,,,,,,,,,,,,,O2 TO O6,,,Active and Reserve,USFF N1SF,OPNAV N96,PERS-4,,,CMSA LANY,CMSA PAC,,,,,,,,,,,,,,
BS6,,B,S,TLAM,6,Liaison Officer,"(a)  Been billeted to be a TLAM Officer at a Carrier Strike Group (CSG), Numbered Fleet Staff/Maritime Operations Center (MOC) or Warfighting Development Center.
AND
(b) Previously earned the BS3, BS4, or BS5 AQD code.
AND
(c) Graduate of the following additional courses:
Joint Force Air Component Augmentation Staff Course [J-2G-5001], Maritime Fires Course[J-2G-0655], TLAM Weaponeer/LNO Course [S-121-2000].",Previous successful completion of a joint tour at a CMSA facility qualifies for this AQD,,,111X,112X,13XX,,,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,"Billets coded with BS6 require an officer who has previously been awarded the BS3, BS4, or BS5 code prior to reporting to ultimate duty station.",,,,1050,1110,1120,1300,1310,1320,,,,,,,,,,,,,,,,,,,,O2 TO O6,,,Active and Reserve,USFF N1SF,OPNAV N96,PERS-4,,,CMSA LANY,CMSA PAC,,,,,,,,,,,,,,
BT1,,B,T,Parachutist,1,Static-line Qualified ,Qualified IAW MILPERSMAN 1220-030.,,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,Indefinite,Active and Reserve,Billets coded with BT1 require an officer who has previously been awarded the BT1 code prior to reporting to ultimate duty station.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active and Reserve,OPNAV N95,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
BT2,,B,T,Parachutist,2,Freefall Qualified,Qualified IAW MILPERSMAN 1220-030.,,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,Indefinite,Active and Reserve,Billets coded with BT2 require an officer who has previously been awarded the BT2 code prior to reporting to ultimate duty station.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active and Reserve,OPNAV N95,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
BU1,,B,U,Special Technical Operations,1,Qualified,Qualified in special technical operations.,OJCS will periodically provide the OPNAV point-of-contact for special technical operations with a list of Navy personnel who have become qualified in special technical operations and a list of billets which require special technical operations coding.,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,Indefinite,Active and Reserve,Billets coded with BU1 indicate Special Technical Operation related positions.,The officer need not possess AQD BU1 for assignment to a special technical operations billet.,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active and Reserve,OPNAV N96,,,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
BV1,,B,V,Special Access Programs (SAP),1,Experienced Administrator,"Served in one of the following positions as defined in DoDM
5205.07: FGPM, DFGPM, Asst GPM, FPSO, RFPSO, FAST PSO, CGPM, CGSSO, or SAP Security Admin.",There is no minimum time required or prerequisite training to be completed.,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N9SP,,,,,BUPERS - 311,BUPERS -315,PERS-41,PERS-43,,,,,,,,,,,,
BV2,,B,V,Special Access Programs (SAP),2,Experienced End User,"Awarded to officers who have been read into a SAP program
and are qualified as an end user per DOOM 5205.07.",There is no minimum time required or prerequisite training to be completed.,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N9SP,,,,,BUPERS - 311,BUPERS -315,PERS-41,PERS-43,,,,,,,,,,,,
BV3,,B,V,Special Access Programs (SAP),3,Eligible,"Favorably adjudicated Personnel Security
Questionnaire (PSQ) certified by Department of the Navy Special Access Program Central
Office (DON SAPCO) or their designate and are eligible in all respects to be read-in to a SAP.",,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N9SP,,,,,BUPERS - 311,BUPERS -315,PERS-41,PERS-43,,,,,,,,,,,,
BX1,,B,X,Expeditionary Warfare,1,,"(a) Completed Amphibious Warfare Staff Planning (AWSP) course [J-2G-0048]. 
OR
(b) Amphibious Ready Group (ARG)/Marine Expeditionary Unit (MEU) Staff Planning course [K-2E-3107]. 
OR
(c) Equivalent curricula.
",,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N95,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,
BX2,,B,X,Expeditionary Warfare,2,"Fleet Marine Force (FMF)
Warfare Officer
",Qualified as a Fleet Marine Force Warfare Officer (FMFWO) IAW current fleet instructions and SECNAVINST 1412.10.,,,,ALL,except 410X,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC-DC,CD&I/LID,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
BX3,,B,X,Expeditionary Warfare,3,Basic,Successfully completed at least 18 months in an operational expeditionary warfare billet within the Navy Expeditionary Combat Command (NECC) Force.,,,,ALL,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,Billets coded with BX3 require an officer who has previously been awarded the BX3 code prior to reporting to ultimate duty assignment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O4 TO O10,,,Active and Reserve,NECC N1,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
BYB,,B,Y,Requirements Management Certification Training (RMCT),B,Level B,"(a) Completed the Defense Acquisition University course (RQM 1010).
AND
(b) Completed the Defense Acquisition University course (RQM 1100).
AND
(c) Completed the OPNAV Action Officer (AO) course.
AND
(d) Completed the OPNAV Requirements Officer (RO) course.
AND
(e) Received Flag-Level endorsement for RMCT Level B certification.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BYB require the officer to complete RMCT Level B certification within 6 months of reporting to ultimate duty assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active and Reserve,OPNAV N9IJ,,,,,PERS-4,,,,,,,,,,,,,,,
BYC,,B,Y,Requirements Management Certification Training (RMCT),C,Level C,"(a) Completed the Defense Acquisition University course (RQM 1010). 
AND
(b) Completed the Defense Acquisition University course (RQM 1100).
AND
(c) Completed the Defense Acquisition University course (RQM 3100).
AND
(d) Completed the OPNAV Action Officer (AO) course.
AND
(e) Completed the OPNAV Requirements Officer (RO) course.
AND
(f) Completed the OPNAV Planning, Programming, Budgeting, and Execution (PPB&E) Course.
AND
(g) Received Flag-Level endorsement for RMCT Level C certification.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BYC require the officer to complete RMCT Level C certification within 9 months of reporting to ultimate duty assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active and Reserve,OPNAV N9IJ,,,,,PERS-4,,,,,,,,,,,,,,,
BZ1,,B,Z,Staff Fires Officer,1,Staff Fires Level 1,"Successfully completed a Naval Fires & Effects Training Continuum Program (NFETCP), Naval Fires & Effects Training (NFET) Level I consisting of:

a) Completed a warfare area qualification program 

AND
		
b) Completed Maritime Fires Course (J-2G-0655)

AND

c) Trained in a fires center during an exercise/real world operation on platform/payload/effects, supporting current fires and Completed Numbered Fleet Fires JQR Level I section.

AND

d) Continuing Education: Complete one of the following every 12-18 months after BZ1 award defined in NFETCP, NFET Appendix A.",Awarding criteria will be folded into Fires Training Continuum Instruction pending its release.,,,11XX,13XX,181X,182X,183X,184X,185X,186X,187X,188X,250X,612X,681X,682X,683X,712X,783X,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BZ1 require an officer to complete certification within 24 months of assignment.,"Due to funding constraints, this AQD can be placed on a limited number of billets. Application to billets must be routed to Resource Sponsor and OPNAV N13 for concurrence.",,,11XX,13XX,181X,182X,183X,184X,185X,186X,187X,188X,250X,612X,681X,682X,683X,712X,783X,,,,,,,,,W2 TO O6,,,Active and Reserve,NAWDC,,,,,CPF MFEA,WDCs (NSMWDC/NIWDC/UWDC),BUPERS-311,BUPERS-315,PERS-4,PERS-9,,,,,,,,,,
BZ2,,B,Z,Staff Fires Officer,2,Staff Fires Level 2,"Successfully completed a Naval Fires & Effects Training Continuum Program (NFETCP), Naval Fires & Effects Training (NFET) Level II consisting of:

a) Current BZ1 qualified 

AND
		
b) Completed Maritime Operational Fires and Effects Course

AND

c) Completed one BZ1 Continuing Education course.

AND

d) Trained in a fires center during an exercise/real world operation on operational-to-tactical fires integration supporting maneuver and effects in current fires billet and completed Numbered Fleet Fires JQR Level II section.

AND

e) Continuing Education: Complete one of the following every 12-18 months after BZ2 award defined in NFETCP, NFET Appendix A.",Awarding criteria will be folded into Fires Training Continuum Instruction pending its release.,See FTC Instruction for complete course listing.,,11XX,13XX,181X,182X,183X,184X,185X,186X,187X,188X,250X,612X,681X,682X,683X,712X,783X,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BZ2 require an officer who has earned BZ1 and requires an officer to complete certification within 24 months of assignment.,"Due to funding constraints, this AQD can be placed on a limited number of billets. Application to billets must be routed to Resource Sponsor and OPNAV N13 for concurrence.",,,11XX,13XX,181X,182X,183X,184X,185X,186X,187X,188X,250X,612X,681X,682X,683X,712X,783X,,,,,,,,,W2 TO O6,,,Active and Reserve,NAWDC,,,,,CPF MFEA,WDCs (NSMWDC/NIWDC/UWDC),BUPERS-311,BUPERS-315,PERS-4,PERS-9,,,,,,,,,,
BZ3,,B,Z,Staff Fires Officer,3,Staff Fires Level 3,"Successfully completed a Naval Fires & Effects Training Continuum Program (NFETCP), Naval Fires & Effects Training (NFET) Level III consisting of:

a) Current BZ2 qualified 

AND

b) Complete Joint Advanced Fires Qualification Course
		
AND

c) Completed one BZ2 Continuing Education course.

AND

d) Trained in a fires center during an exercise/real world operation on operational-to-tactical fires integration supporting JFMCC/JTF in a fires planner billet and completed Numbered Fleet Fires JQR Level III section.

AND

e) Continuing Education: Complete one of the following every 12-18 months after BZ3 award defined in NFETCP, NFET Appendix A.",Awarding criteria will be folded into Fires Training Continuum Instruction pending its release.,See FTC Instruction for complete course listing.,,11XX,13XX,181X,182X,183X,184X,185X,186X,187X,188X,250X,612X,681X,682X,683X,712X,783X,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BZ3 require an officer who has earned BZ2 and requires an officer to complete certification within 24 months of assignment.,"Due to funding constraints, this AQD can be placed on a limited number of billets. Application to billets must be routed to Resource Sponsor and OPNAV N13 for concurrence.",,,11XX,13XX,181X,182X,183X,184X,185X,186X,187X,188X,250X,612X,681X,682X,683X,712X,783X,,,,,,,,,W2 TO O6,,,Active and Reserve,NAWDC,,,,,CPF MFEA,WDCs (NSMWDC/NIWDC/UWDC),BUPERS-311,BUPERS-315,PERS-4,PERS-9,,,,,,,,,,
BZA,,B,Z,Staff FIRES,A,Graduate – Joint Operational Fires and Effects Course,Course completion: Joint Operational Fires and Effects Course (JOFEC) or designated successor.,,,,All URL,18XX,,,,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,Billets coded with BZA require an officer to have been awarded the BZA code prior to reporting to ultimate duty assignment.,,,,All URL,1050,18XX,,,,,,,,,,,,,,,,,,,,,,,O2 TO O6,,,Active and Reserve,OPNAV N9,,,,,BUPERS - 311,BUPERS -315,P34S-4,USFF,OPNAV N2N6,,,,,,,,,,,
BZB,,B,Z,Staff FIRES,B,Experienced,Completed a tour in a FIRES billet.,,,,All URL,18XX,,,,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N9,,,,,BUPERS-311,P34S-4,USFF,OPNAV N2N6,,,,,,,,,,,,
BZC,,B,Z,Staff FIRES,C,Advanced,Previously been awarded the BZA and BZB AQDs.,,,,All URL,18XX,,,,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,Billets coded with BZC require an officer to have been awarded the BZC code prior to reporting to ultimate duty assignment.,,,,All URL,1050,18XX,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,OPNAV N9,,,,,BUPERS - 311,BUPERS -315,P34S-4,USFF,OPNAV N2N6,,,,,,,,,,,
LINE OFFICER SHORE ASSIGNMENT,"
These AQD codes are assigned to officers by PERS-4 and assigned to billets by N12.
",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA1-6,,C,A,Division Officer,1-6,Grade level*,Successfully completed at least 24 months in a Division Officer shore assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,Indefinite,Active and Reserve,Billets coded with CA1-CA6 indicate positions that provide the indicated level of Division Officer experience.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N133,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,
CB1-6,,C,B,Department Head,1-6,Grade level*,Successfully completed at least 24 months in a Department Head shore assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,Indefinite,Active and Reserve,Billets coded with CB1-CB6 indicate positions that provide the indicated level of Department Head experience.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N133,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,
CBB,,C,B,Shore Installation Management,B,Department Head,Successfully completed at least 24 months in a Shore Installation Management Department Head assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNIC,,,,,PERS-41,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
CBC,,C,B,Shore Installation Management,C,Executive Officer,Successfully completed at least 24 months in a Shore Installation Management Executive Officer assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNIC,,,,,PERS-41,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
CBD,,C,B,Shore Installation Management,D,Officer in Charge,Successfully completed at least 24 months in a Shore Installation Management Officer in Charge assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNIC,,,,,PERS-41,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
CBE,,C,B,Shore Installation Management,E,Shore Command,Successfully completed at least 24 months in a Shore Installation Management Command assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,O5 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNIC,,,,,PERS-41,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
CBF,,C,B,Shore Installation Management,F,Major Shore Command,Successfully completed at least 24 months in a Shore Installation Management Major Command assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,O5 TO O6,,Indefinite,Active and Reserve,There may be exceptions in which an officer may be detailed to a CBF billet without having first been awarded the CBF code. This authority resides with CNIC.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O5 TO O6,,,Active and Reserve,CNIC,,,,,PERS-41,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
CBJ,,C,B,Shore Installation Management,J,Post-Major Shore Command,Successfully completed at least 24 months in a Shore Installation Management Post-Major Shore Command assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,O5 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNIC,,,,,PERS-41,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
CC1-6,,C,C,Executive Officer,1-6,Grade level*,Successfully completed at least 24 months in an Executive Officer shore assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,Indefinite,Active and Reserve,Billets coded with CC1-CC6 indicate positions that provide the indicated level of Executive Officer experience.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N133,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,
CD1-6,,C,D,Officer-in-charge,1-6,Grade level*,Successfully completed at least 24 months in an Officer-in-Charge shore assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,Indefinite,Active and Reserve,Billets coded with CD1-CD6 indicate positions that provide the indicated level of Officer-in-Charge experience.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N133,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,
CE1-6,,C,E,Shore Command,1-6,Grade level*,Successfully completed at least 24 months in a Shore Command assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,Indefinite,Active and Reserve,Billets coded with CE1-CE6 indicate positions that provide the indicated level of Shore Command experience.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N133,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,
CF1-6,,C,F,Major Shore Command,1-6,Grade level*,Successfully completed at least 24 months in a Major Shore Command assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,Indefinite,Active and Reserve,Billets coded with CF1-CF6 indicate positions that provide the indicated level of Major Shore Command experience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N133,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,
