AQD CODE,DESCRIPTION,1ST,2ND CODE,2ND TITLE,3RD CODE,3RD TITLE,OFFICER AWARDING CRITERIA,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILIING PREREQUISITE,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,DESIGNATOR_20,DESIGNATOR_21,DESIGNATOR_22,DESIGNATOR_23,DESIGNATOR_24,DESIGNATOR_25,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,PRIMARY CONSULTANT_1,PRIMARY CONSULTANT_2,PRIMARY CONSULTANT_3,PRIMARY CONSULTANT_4,PRIMARY CONSULTANT_5,AUXILIARY CONSULTANT_1,AUXILIARY CONSULTANT_2,AUXILIARY CONSULTANT_3,AUXILIARY CONSULTANT_4,AUXILIARY CONSULTANT_5,AUXILIARY CONSULTANT_6,,,,,,,,,,
ABN,,A,B,Business - Cost Estimating,N,Non-Critical Acquisition Billet,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billets coded with ABN require an officer who is eligible to receive the ABN code upon assignment.

The officer will be required to earn the AB2 code within 60 months of assignment.
",There may be exceptions in which an officer may be detailed to an ABN billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O9,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
ACA,,A,C,Contracting,A,Contracting Professional Certified,Received Acquisition Functional Area Contracting Professional Certification,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,,,,,,,,,,,,,,
ACC,,A,C,Contracting,C,Critical Acquisition Position (CAP),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billets coded with ACC require an officer who is eligible to receive the ACC code upon assignment.

The officer will be required to earn the ACA code within 36 months of assignment.
",There may be exceptions in which an officer may be detailed to an ACC billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,This billet is a Critical Acquisition Billet and requires a minimum 3-year tenure agreement,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O4 TO O9,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
ACK,,A,C,Contracting,K,Key Leadership Position (KLP),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Assistant Secretary of the Navy (Research, Development, and Acquisition) and/or Director, Acquisition Talent Management (DATM) approval is required prior to:

(a) The assignment of ABK to any billet

AND
 
(b) The assignment of any individual to a billet coded ABK.
",(a) Billets coded with ABK require an officer who is eligible to receive the ABK code upon assignment.,There may be exceptions in which an officer may be detailed to an ABK billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,(This billet is a Critical Acquisition/Key Leadership Billet and requires a minimum 3 year tenure agreement.),ALL,,,,,,,,,,,,,,,,,,,,,,,,,O5 TO O9,,,Active Only,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
ACN,,A,C,Contracting,N,Non-Critical Acquisition Billet,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billets coded with ACN require an officer who is eligible to receive the ACN code upon assignment.

The officer will be required to earn ACA within 36 months of assignment
",There may be exceptions in which an officer may be detailed to an ACN billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O9,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
AK2,,A,K,Business -Financial Management,2,Level 2 Functional Area Certified,Received Acquisition Practitioner Certification in Business-Financial Management.,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,PERS - 4,,,,,,,,,,,,,
AK4,,A,K,Business -Financial Management,4,Level 4 Functional Area Certified,Received Acquisition Advanced Certification in Business-Financial Management.,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,PERS - 4,,,,,,,,,,,,,
AKC,,A,K,Business -Financial Management,C,Critical Acquisition Position (CAP) ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billets coded with AKC require an officer who is eligible to receive the AKC code upon assignment.

The officer will be required to earn AK4 within 48 months of assignment.
",There may be exceptions in which an officer may be detailed to an AKC billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,This billet is a Critical Acquisition Billet and requires a minimum 3-year tenure agreement,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O4 TO O9,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
AKK,,A,K,Business -Financial Management,K,Key Leadership Position (KLP),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Assistant Secretary of the Navy (Research, Development, and Acquisition) and/or Director, Acquisition Talent Management (DATM) approval is required prior to:

(a) The assignment of AKK to any billet 

AND

(b) The assignment of any individual to a billet coded AKK.
",Billets coded with AKK require an officer who is eligible to receive the AKK code upon assignment.,There may be exceptions in which an officer may be detailed to an AKK billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,This billet is a Critical Acquisition/Key Leadership Billet and requires a minimum 3 year tenure agreement.,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O5 TO O9,,,Active Only,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
AKN,,A,K,Business -Financial Management,N,Non-Critical Acquisition Billet,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billets coded with AKN require an officer who is eligible to receive the AKN code upon assignment.

The officer will be required to earn AK2 within 60 months of assignment.
",There may be exceptions in which an officer may be detailed to an AKN billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O9,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
